Ente,Titolo dell'iniziativa,Descrizione dell'iniziativa,"Destinatari, fruitori dell'iniziativa",Tempistiche dell'iniziativa,Metriche di valutazione dell'impatto,Eventuali partner coinvolti nell'iniziativa,Data Approvazione
Associazione internazionale per la promozione della Scuola a Rete DiCultHer,Scuola a Rete DiCultHer,"DiCultHer è un insieme di iniziative che vengono programmate annualmente con l'obiettivo di concorrere alla formazione delle competenze nel settore del Digital Cultural Heritage in Italia. Oggi rappresenta una rete di circa ottanta istituzioni pubbliche e private di cui ventisette Università, i maggiori Enti di Ricerca e le principali Istituzioni e organizzazioni di cultura italiane i cui obiettivi ne hanno sotteso la programmazione e le azioni nel nostro Paese dal 2015, per garantire contesto e sviluppi attuativi al «diritto di ogni cittadino ad essere educato alla conoscenza e all’uso responsabile del digitale per la salvaguardia e la valorizzazione del patrimonio culturale e dei luoghi della cultura».
Dotare le nuove generazioni della conoscenza sia delle dimensioni e dei valori assunti dell’Eredità Culturale tangibile e intangibile, sia del più vasto universo del nuovo Digital Cultural Heritage attraverso l’integrazione fra saperi umanistici tradizionali e conoscenze di metodi e tecniche computazionali nella strutturazione della nuova Cultura Digitale, è parte essenziale dell’impegno del Network DiCultHer per il futuro dei nostri ragazzi. Un futuro che pone al centro la loro ‘creatività’ per affrontare, mediante l’uso consapevole del digitale e con approcci innovativi, la conoscenza, l’accesso partecipato, la gestione, la presentazione, la fruizione, la conservazione e valorizzazione del Digital Cultural Heritage, per “garantire a tutte le studentesse e a tutti gli studenti le competenze chiave per affrontare i cambiamenti e le sfide del loro presente, per proiettarsi al meglio nel futuro, per diventare cittadine e cittadini attivi e consapevoli, capaci di condividere valori comuni e di confrontarsi positivamente con l’altro”.
Nella visione della Rete DiCultHer, le attività di Educazione finalizzate a riconoscere il digitale nel valore di patrimonio culturale dell’inizio del nuovo millennio rappresentano la strada maestra per restituire ai nostri giovani la piena consapevolezza del loro ruolo essenziale nel raggiungere obiettivi di crescita sociale, culturale, economica, indispensabile nelle conoscenze e competenze di cittadinanza globale","Sistema scolastico nazionale (scuole, studenti, docenti)",programmazione anno per anno (https://www.diculther.it/programmazione-delle-attivita-diculther-per-lanno-scolastico-2019-2020/),"* numero scuole coinvolte
* numero docenti partecipanti
* numero studenti partecipanti","https://www.diculther.it/istituzioni-aderenti-e-poli-formativi-2/ . DiCultHer ha inoltre Protocolli d'intesa tra l'Amministrazione comunale di Matera, con gli Uffici Scolastici Regionali di Basilicata, Molise, Calabria, Puglia, con la DG Educazione e Ricerca del MiBACT ( https://agcult.it/a/11073/2019-10-01/mibact-rinnovato-protocollo-tra-dg-educazione-e-rete-diculther), INDIRE, ICCU e ICBSAM del MiBACT, ITALIA NOSTRA",2020-02-04 12:15:07
Sistema Impresa Roma - Associazione di imprese e professionisti,"Digitale, tra emancipazione e inclusione","L’iniziativa si articola nella seguenti fasi:
a) rilevazione di dati (questionari/interviste agli HR) inerenti all’impatto che sta avendo la trasformazione tecnologica sull’attività svolta dalle nostre aziende associate e le novità tecnologiche introdotte recentemente nei processi lavorativi. 
b) selezione di 40 aziende, a cui, saranno rivolti dei percorsi formativi per soddisfare il fabbisogno formativo emerso e per illustrare la galassia di opportunità offerte da Industria 4.0. Tra le aziende selezionate sarà prevista la partecipazione di almeno due imprese operanti nel settore sanitario, nello specifico nell’assistenza sociosanitaria. 
c) realizzazione di 6 puntate televisive: “Digitale, strada fatta e strada da fare” su emittente televisiva locale in cui interverranno gli attori sociali e le associazioni universitarie presenti nel CNSU. 
d) realizzazione di 3 seminari presso Atenei su Privacy, innovazione e diversity. Report finale e selezione n. 3 studenti a cui finanziare un corso di formazione e tirocinio.","Dipendenti aziende micro e piccole, associazioni, enti formazione e studenti universitari",5/6 mesi nel corso del 2020,"* numero dei partecipanti ai percorsi formativi 
* numero di ore svolte; 
* numero di aziende coinvolte;  
* numero di risposte al sondaggio sulla digitalizzazione; 
* livello di apprendimento raggiunto, tramite sondaggio alle aziende post attività","I partner coinvolti saranno le aziende associate a Sistema Impresa Roma, emittente televisiva locale ed enti di formazione",2020-02-12 10:47:34
Cifa,Academy,"L’iniziativa dell’Academy nasce dal desiderio di contribuire in modo concreto alla crescita e alla diffusione dell’apprendimento continuo e permanente sul territorio nazionale attraverso una piattaforma open per la formazione professionale, uno spazio di apprendimento a sostegno della crescita personale e professionale del cittadino, del potenziamento del capitale intellettuale, umano e organizzativo a supporto della strategia aziendale, un luogo di sperimentazione ed utilizzo di nuovi format e nuove tecnologie digitali per l’apprendimento e la certificazione di conoscenze, abilità e competenze acquisite. Particolare attenzione è, infatti, rivolta alle esigenze delle micro, piccole e medie imprese, al fine di sostenere e rafforzare la propria attività investendo sull’innovazione culturale, digitale, metodologica. Attraverso percorsi mirati obbligatori di alfabetizzazione digitale, basati su DigComp, poniamo la formazione continua al centro di una rinnovata relazione tra datore di lavoro e lavoratore, dove la crescita professionale di quest’ultimo si lega indissolubilmente al costante aggiornamento di conoscenze, abilità e competenze. Tale impostazione favorirà non solo un cambiamento di paradigma, ma anche un cambiamento di prassi gestionale delle risorse umane, che pone l’individuo e le sue logiche di azione al centro della vita sociale ed economica. 
La proposta formativa è variegata, apprezzabile non solo guardando ai singoli moduli, ma soprattutto nella sua interezza, articolando l’offerta su più livelli, attraverso architetture sicure e facilmente fruibili su tutti i devices.","I destinatari/fruitori dell’iniziativa possono essere identificati su due livelli: ad un livello intermedio troviamo le imprese, in termini di capitale organizzativo totale; ad un livello finale ci sono i lavoratori e, dunque, il cittadino. Al momento contiamo di raggiungere il 10% dei lavoratori della totalità delle aziende coinvolte.",La presentazione ufficiale è prevista per il 20 maggio 2020 e le attività si svolgeranno  a partire dal 2020,"a.	Indicatori di realizzazione:
•	Risorse disponibili/Risorse preventivate;
•	Risorse impiegate/Risorse preventivate;
•	Competenze disponibili/competenze richieste.
b.	Indicatori di risultato:
•	Azioni raggiunte/totale azioni progettuali;
•	Stakeholders coinvolti/stakeholder raggiunti;
•	Stakeholder raggiunti/competenze certificate;
•	Stakeholders formati/stakeholder raggiunti.
c.	Indicatori di impatto:
•	Aumento di sensibilizzazione e diffusione della cultura della formazione nelle imprese target;
•	Aumento del numero delle attività di formazione per la certificazione contrattuale;
•	Aumento del numero delle attività di formazione per competenze digitali.
",,2020-02-12 10:43:34
Kilometro rosso,Digital Europe e strategia nazionale,"Di fronte alle profonde trasformazioni del sistema produttivo e delle catene del valore, dovute all’introduzione di nuovi modelli operativi abilitati da nuove tecnologie della filiera, è imprescindibile una decisa reazione del sistema imprenditoriale italiano ed europeo. Per supportare questa trasformazione, che ha impatti tecnologici, organizzativi e – soprattutto – culturali, sono stati predisposti importanti piani di intervento a livello nazionale ed europeo. L’incontro avrà l’obiettivo di informare e confrontarsi sui piani promossi dall’Italia con il sistema dei Digital Innovation Hub e dei Competence Center, alzando poi lo sguardo sulla strategia di sostegno alle imprese prevista dall’Unione Europea con la piattaforma Digital Europe, che promuoverà investimenti per la diffusione digitale su larga scala, in settori chiave come l’Intelligenza Artificiale, Cybersecurity, High performance Computing, etc. per una trasformazione digitale sostenibile dell'economia e della società. L’allineamento tra i due percorsi sarà la chiave per il successo di questa fondamentale trasformazione","L'evento riunirà le parti interessate alla gestione e funzionamento dei digital innovation hubs, nonché potenziali beneficiari.",L'evento è preisto nel 2020,"* numero partecipanti
* social media engagement
* social media mention
* press release ","confindustria bergamo, università di bergamo",2020-02-12 10:48:34
Impactscool,A scuola di Futuro,"Impactscool è la prima impresa italiana di ricerca, consulenza e formazione dedicata al Futures Critical Thinking. Fondata a inizio 2017 da Andrea Dusi e Cristina Pozzi, propone un innovativo metodo didattico per portare l’insegnamento del futuro nelle scuole italiane, al fine di fornire a ragazze e ragazzi gli strumenti utili a comprendere il presente e acquisire competenze e conoscenze necessarie ad affrontare con flessibilità gli scenari che ci aspettano. 
Il mondo è in rapido cambiamento e discipline e tecnologie come la robotica, la genetica, la blockchain, la stampa 3D e l’intelligenza artificiale si apprestano a trasformare l’esistenza di ogni essere umano, con effetti e conseguenze difficili da immaginare. Imparare al pensare al futuro in modo scientifico è uno strumento fondamentale per comprendere e cavalcare i cambiamenti, anziché subirli. 
Dalla sua fondazione, Impactscool ha formato oltre 20.000 persone, in oltre 350 eventi rivolti a studenti e docenti di scuole e università in Italia e all’estero","* Studenti delle scuole superiori
* Docenti",Il progetto è già attivo,"* numero scuole coinvolte
* numero docenti partecipanti
* numero studenti partecipanti",Presente un protocollo di intesa con il MIUR nell'ambito del piano nazionale scuola digitale: https://www.istruzione.it/allegati/2018/MIUR.AOODPPR.REGISTRO_UFFICIALE(U).0000106.25-01-2018.pdf .,2020-02-14 09:53:34
Darwin technologies ,Avanguardia Digitale,"""Avanguardia Digitale"" è un progetto di divulgazione digitale nelle scuole secondarie italiane. Il percorso, pensato per gli studenti delle classi superiori, si propone di fornire una panoramica sulle nuove tecnologie che stanno cambiando radicalmente il mondo in cui viviamo, la società e il lavoro. I futuri posti di lavoro saranno destinati a professionisti che hanno saputo abbracciare queste nuove ondate digitali, allo stesso modo di come accadde per il Web negli anni ’90. Informare correttamente gli studenti e fornire loro gli strumenti per approfondire e sperimentare queste nuove tecnologie è la chiave per renderli competitivi a livello internazionale. Il programma di 16 ore è suddiviso tra lezioni teoriche, dimostrazioni pratiche e interventi da remoto di professionisti navigati nel settore per far immergere gli studenti nel mondo digitale.
I temi trattati nel programma includono la Blockchain, l'IoT, Machine Learning e Intelligenza Artificiale, Realtà aumentata e virtuale,  Big Data.
I lavori degli studenti saranno promossi in una vetrina online e sarà proposto un percorso di accompagnamento per i progetti più meritevoli in future fiere tecnologiche internazionali.
","Studenti delle scuole superiori italiane del 3°, 4° e 5° anno.",È previsto il lancio dell'iniziativa nelle scuole siciliane nel secondo trimestre del 2020 e il lancio a livello nazionale nel quarto trimestre dello stesso anno.,"* numero scuole coinvolte
* numero studenti partecipanti
* livello di apprendimento raggiunto (Verranno somministrati questionari valutativi al termine di ogni percorso per valutare quanto appreso dagli studenti)",,2020-02-14 08:59:34
Web Marketing Festival,Web Marketing Festival,"Il WMF è il più grande Festival sull’Innovazione.
Con oltre 21.000 presenze in tre giorni nel 2019, il WMF rappresenta un punto di riferimento per la formazione sulle principali leve del digitale e un acceleratore del processo di innovazione del Paese.
L'impegno del Festival - espresso dal claim “We Make Future” - è infatti quello di contribuire alla costruzione di un futuro all’insegna dell’educazione, della formazione e dell’innovazione.
L’8^ edizione del Festival - 4,5 e 6 giugno 2020 - esplorerà l’universo dell’innovazione attraverso oltre 80 eventi di formazione, cultura, musica, show, business e networking. Agli eventi delle tre giornate, il WMF unisce poi una serie di iniziative attive tutto l’anno e rivolte a scuole, università, borghi e istituzioni in tutta Italia. All’estero, inoltre, il WMF realizza eventi dedicati al mondo delle startup con l’obiettivo di creare un ecosistema europeo condiviso per la crescita dell’intero settore e di nuovi progetti imprenditoriali.","Il Festival si rivolge ad un pubblico ampio e variegato composto da:

- Studenti (scuole elementari, medie e superiori)
- Studenti universitari
- Ricercatori
- Giornalisti
- Organizzazioni non profit
- Aziende internazionali
- Piccole e medie imprese
- Istituzioni locali e nazionali
- Giornalisti
- CEO e Manager
- Imprenditori
- Impiegati e Freelance
- Startup","Il Festival si terrà il 4, 5 e 6 giugno 2020 al Palacongressi di Rimini.
 Le attività e le iniziative del WMF continuano anche nel corso di tutto l'anno e coprono tutto il territorio nazionale. ","- Numero dei partecipanti al Festival (+21.000 presenze in tre giorni nel 2019)
- Numero di persone coinvolte dalle diverse iniziative formative - offline e online - del WMF (che ad oggi ammontano a più di 250.000)
- Eco mediatica: +1.500 articoli su quotidiani, blog e riviste di settore (online e stampa); 3 servizi tv durante e post evento Rai1, Rai3, La7
- L'ampiezza dell'agenda del Festival (nel 2019 il WMF ha offerto al proprio pubblico più di 55 diverse sale formative e oltre 80 eventi in tre giorni)
- +500 speaker internazionali; +500 espositori e partner; +600 startup, investitori e ricercatori.",,2020-02-14 09:06:34
Impactscool,Future Camp,"I Future Camp sono le summer school sul futuro, ideate e organizzate da Impactscool in 8 città italiane. I corsi inizieranno a giugno 2020: un’esperienza unica, rivolta alle ragazze e ai ragazzi dai 16 ai 22 anni, della durata di 5 giorni. Durante il percorso i partecipanti impareranno come diventare “future maker” in grado di prevedere e risolvere i grandi problemi mondiali di oggi e domani, affrontare le sfide delle nuove tecnologie, contrastare i cambiamenti climatici e immaginare e progettare i lavori e la società del futuro.
Il percorso formativo favorisce sia lo sviluppo di conoscenze, le cosiddette hard skill (su tecnologie emergenti, futuro, lavori del futuro, approcci innovativi), sia quello di competenze trasversali, le soft skill (come pensiero critico, capacità logica, parlare in pubblico, immaginazione e creatività, lavoro di squadra).
Sono previste 5 borse di studio per ogni corso, che consentiranno ai vincitori di partecipare gratuitamente al percorso formativo.","Ragazze e ai ragazzi dai 16 ai 22 anni.
Sono previste borse di studio, assegnate attraverso un concorso: https://www.impactscool.com/future-camp/borse-di-studio/",giugno-luglio 2020,* numero partecipanti,Il progetto gode della media partnership di Wired Italia ,2020-02-17 18:21:34
Fastweb,Fastweb Digital Academy,"Dalla sua nascita Fastweb investe per la digitalizzazione dell’Italia, non solo per la diffusione di infrastrutture di connessione di ultima generazione, ma anche per promuovere l’utilizzo di Internet e le competenze digitali.
Fastweb Digital Academy (www.fastwebdigital.academy) nasce nel 2016 nell’ambito di Cariplo Factory. L’iniziativa è ispirata dalla comune consapevolezza di Fastweb e di Fondazione Cariplo che è necessario movimentare risorse e competenze per la creazione di professionisti del futuro e lavoratori dotati di capacità digitali, indispensabili per la trasformazione digitale del nostro Paese. 
Fastweb Digital Academy offre gratuitamente a giovani e professionisti percorsi di formazione specialistica  orientati alle nuove professioni digitali. I corsi sono tenuti da specialisti e professionisti ed erogati con lezioni in aula e laboratori. Le aree di insegnamento sono: Digital Design & Making, Digital Development, Digital Marketing & Collaboration, Digital Soft Skill per sviluppare le competenze più richieste dal mercato. 
",Giovani diplomati o laureati in cerca di occupazione. Professionisti che hanno bisogno di reskilling. ,Fastweb Digital Academy è nata nel 2016. Ad oggi ha rilasciato oltre 4.100 certificati. ,"* numero di partecipanti
* numero certificati erogati.",Cariplo Factory,2020-02-18 17:41:50
Club Dirigenti Tecnologie dell'Informazione di Roma,Il CDTI adotta le Scuole,"Nel progetto “Il CDTI adotta le Scuole” mettiamo in campo i/le nostri/e numerosi/e  soci/e, professionisti/e, manager e imprenditori/rici del mondo pubblico e privato dell’ICT di Roma e offriamo alle scuole romane un distillato di esperienze nel settore ICT.
Nello specifico il nostro progetto si concentrerà nell’area di Roma, mettendo al centro temi come identità digitale, reputazione digitale; sicurezza e privacy; formazione e informazione, approfondendo ciascuno di essi e integrandoli opportunamente per offrire a tutti i destinatari:
gli strumenti e le competenze utili per acquisire una auspicata “cittadinanza digitale”, che li metta nelle migliori condizioni di essere soggetti consapevoli e capaci nella navigazione all’interno della società digitale.
La modalità di intervento sarà quella tradizionale dell'incontro, in cui coinvolgeremo tutti i destinatari nella discussione. Molto importante sarà il supporto degli/lle insegnanti al fine di generare la consapevolezza digitale e la sua capitalizzazione nel corso del lavoro scolastico.
l progetto + indirizzato ai 15 Municipi del Comune di Roma.
","* studenti/esse di alcune scuole superiori;
* loro professori/esse;
* loro famiglie;"," La tempistica prevede interventi nei mesi compresi in tutti i mesi dell'anno, escludendo giugno, luglio e agosto, ed è stato già avviato nell’ambito di un Liceo Classico del 1° Municipio. ","* numero di studenti partecipanti
* numero di docenti coinvolti
* numero di familiari degli studenti coinvolti 
*numero di scuole coinvolte","I partner di questi iniziativa sono i nostri Soci, che, pur essendo professionisti, manager e imprenditori di aziende pubbliche e private, partecipano al Club a titolo personale.",2020-02-21 12:38:50
InContra Innovazione Contrattazione Partecipazione,Osservatorio permanente per l’indagine dell’ambiente di lavoro nel settore digitale,"Il Centro Studi InContra ha avviato una ricerca finalizzata alla mappatura delle competenze digitali, relativi profili di ruolo e nuovi modelli organizzativi, per l’indagine su funzionamento, esigenze ed obiettivi di medio-lungo termine delle aziende operanti nel settore digitale e ambiente di lavoro digitale.
L’iniziativa ha dato il via alla nascita di un osservatorio permanente per l’indagine dell’ambiente di lavoro nel settore digitale, combinando le qualificazioni contenute nel Repertorio nazionale dei titoli di istruzione e formazione e delle qualificazioni professionali e nell’Atlante del lavoro e delle qualificazioni, con quanto previsto dall’European e-Competence Framework.
La fase di diffusione progettuale è scomponibile in due attività:
* Prima fase di diffusione interna, successiva ad ogni Incontro del tavolo tecnico di confronto nazionale;
* Seconda fase di diffusione esterna, successiva all’istituzionalizzazione dell’osservatorio permanente.
Nell’ambito della seconda fase, si prevede un ciclo di seminari gratuiti da realizzarsi in un arco temporale   di 5 mesi, per la diffusione ed ulteriore validazione dei contenuti, in ottemperanza alle direttive nazionali e comunitarie.
Tali seminari prevederanno la partecipazione di almeno due Atenei Italiani (per l’evento su Roma, Sapienza Università di Roma e Università degli Studi di Roma “Tor Vergata”), delle aziende partecipanti al tavolo tecnico di confronto nazionale (tra cui: Aton, DXC Technologies, Enel, PMI, TIM, ecc.) .
A seguire saranno realizzati i interventi formativi gratuiti  rivolti ai lavoratori dipendenti delle aziende del settore finalizzati ad illustrare la concreta attuazione di quanto oggetto di sperimentazione in seno al tavolo tecnico.","I fruitori possono essere identificati a più livelli
* imprese operanti nel settore ICT
* gruppi o famiglie professionali in evoluzione
* lavoratori operanti nel settore ICT e profili professionali comuni ad altri settori","* istituzionalizzazione dell’osservatorio permanente entro giugno 2020
* fase di diffusione e seminari già a partire dalla seconda metà del 2020","a.        Indicatori di realizzazione:
•        Risorse impiegate/Risorse preventivate;
•        Competenze disponibili/competenze richieste.
b.        Indicatori di performance:
•        Analisi degli scostamenti sui valori di proficiency = VA – VR, dove VA= Valore atteso dai modelli internazionali e VR = Valore rilevato dalle interazioni con gli esperti di settore;
•        Sviluppo di qualifiche a livello settoriale, allo stesso modo facilitando gli stakeholder nell’identificazione di sinergie con le qualifiche settoriali.
c.        Indicatori di impatto:
•        Analisi di incidenza: stakeholders coinvolti/stakeholders raggiunti;
•        Aumento del numero di partnership attivate.",Dipartimento di Management della Facoltà di Economia di Sapienza Università di Roma,2020-02-21 12:39:50
SIGM - Associazione Italiana Giovani Medici ,"VALIDATE – Value-bAsed Learning for Innovation, Digital-health, Artificial inTelligencE ","VALIDATE – Value-bAsed Learning for Innovation, Digital-health, Artificial inTelligencE  - 
Il progetto VALIDATE, realizzato dalla Task Force dell’Associazione Italiana Giovani Medici (SIGM) in collaborazione con il Comitato Editoriale SIGM, ha come scopo la definizione, strutturazione, diffusione di skills e competenze specifiche in ambito di Digital Health nel contesto dei Giovani Medici e prevede di: rilevare i bisogni formativi in tema di digitalizzazione in sanità con una survey online, pubblicandone i risultati su rivista scientifica; promuovere la profilazione di un core curriculum in Digital Health; diffondere e trasmettere contenuti e competenze profilate nel core curriculum anche attraverso un evento congressuale nazionale o, in alternativa, un telecongresso; favorire l’integrazione del core curriculum nelle scuole di formazione mediche; portare all’attenzione delle Istituzioni la necessità di un training specifico in Digital Health per Medici ed operatori sanitari.",Giovani Medici Italiani,"* entro marzo 2020 rilevazione dei fabbisogni
* entro ottobre 2020 elaborazione di strumenti di formazione e di un core curriculum dedicato alla digital health
* entro dicembre 2020 diffusione dei risultati tramite congresso","* numero partecipanti alla rilevazione
* numero partecipanti all'attività di diffusione",,2020-02-21 12:40:50
Comune di Lecco,Digital adoption per la diffusione della cultura digitale,"L'iniziativa di ""digital adoption"" per la diffusione della cultura digitale si articola nei seguenti progetti:
1. Diffusione del Sistema Pubblico di Identità digitale (SPID)
2. Laboratori di alfabetizzazione informatica per over 60 con un approccio intergenerazionale  (qui di coinvolgendo la scuola)
3. Azioni concrete per diffondere consapevolezza nell'uso della rete
(a. strumenti, protezione dati, prevenzione phishing ecc.;
b. comunicazione non ostile, prevenzione cyberbullismo...).
","Rispetto ai tre progetti:
1. Dipendenti pubblici, cittadini, associazioni
2. Cittadini over 60 e studenti-docenti Istituti di istruzione secondaria di secondo grado
3. Famiglie, ragazzi e giovani, dipendenti pubblici, cittadini e associazioni ","Rispetto ai tre progetti:
A. Costruzione della rete: entro marzo 2020
B. Prime azioni: da febbraio a giugno 2020 e da settembre a dicembre 2020
C. Laboratori per over 60: da febbraio a metà maggio 2020
C. Supporto per credenziali CNS-TS e SPID: da febbraio a dicembre 2020 (almeno tre sportelli)","Rispetto ai tre progetti:
1. numero SPID creati (nel 2019: 285 SPID, di cui 65 ai dipendenti comunali)
1.1 numero postazioni aggiuntive
2. numero over 60 frequentati il laboratorio
3. numero iniziative pubbliche organizzate dal Comune in collaborazione con Enti/Associazioni della rete sui temi della cultura digitale (cfr. contenuti azione 3) ","Associazioni di volontariato, scuole della città, CST Provincia di Lecco, eventuali privati (in fase di costruzione: apporto con Tim per iniziativa ""Risorgimento digitale"" - aggiuntiva al nostro progetto - prevista per settembre 2020)",2020-02-27 08:16:50
"Unioncamere - Unione italiana delle Camere di commercio, industria, artigianato e agricoltura",PID - Punti impresa Digitale,"Unioncamere aderisce a “Repubblica Digitale” per mettere a fattor comune del Paese alcuni strumenti di inclusione digitale sviluppati, nell’ambito dell’iniziativa dei PID – Punti Impresa Digitale delle Camere di commercio - a supporto delle imprese:
1. il modello di assessment digitale, per misurare il livello di maturità digitale delle imprese, disponibile in due versioni: “SELFI4.0” self-assessment on-line e “ZOOM4.0” assessment guidato in azienda; 
2. il “Digital Skill Test”, test per rilevare le competenze digitali di studenti e lavoratori aiutandoli nella individuazione di percorsi di crescita più mirati e consapevoli.
 L’azione verso le imprese è integrata inoltre da un programma di potenziamento e certificazione delle competenze digitali del personale delle Camere di commercio, finalizzata a formare figure professionali qualificate per affiancare le PMI nel processo di digitalizzazione
","Imprese, studenti, lavoratori e giovani manager",Le iniziative saranno realizzate nel corso del 2020,"* numero di imprese coinvolte nell’assessment della maturità digitale (Selfi4.0 e Zoom4.0)
* numero di test sulle competenze digitali realizzati",Le Camere di commercio congiuntamente ad Unioncamere sono protagoniste dei progetti,2020-02-27 08:26:50
Inforav,Le eccellenze di Pubblitesi sulla strada verso una Repubblica digitale,"L’Inforav, Istituto per lo sviluppo e la gestione avanzata dell’informazione, che dal 1973 promuove, senza fini di lucro, l’ICT e l’innovazione in Italia, si rende promotore di un’iniziativa finalizzata a diffondere e consolidare gli obiettivi e i valori presenti nel Manifesto per la Repubblica digitale, attraverso un Riconoscimento da conferire alle migliori Tesi di Laurea, selezionate nell’ambito della piattaforma Pubblitesi.
Pubblitesi raccoglie e divulga, da oltre 10 anni, con fini anche di evidenza del merito, le migliori Tesi di Laurea Specialistica e di Dottorato, presentate negli Atenei italiani.
Il progetto vuole contribuire fra l’altro a porre in evidenza oltre che i valori espressi nelle migliori Tesi, anche le idee nuove dei giovani laureati, considerandoli un patrimonio del Paese da non disperdere.
La presente iniziativa è finalizzata a mettere in  moto, sull’importante tema della digitalizzazione del Paese, i giovani di maggiore talento, la loro creatività e le loro capacità di interazione e prevede attività di divulgazione/sensibilizzazione associate al lancio del Bando per il riconoscimento e di divulgazione/sensibilizzazione associate all’aggiudicazione del premio, tra cui un evento dedicato, oltre che altre attività di comunicazione sui social
","Destinatari dell'iniziativa sono i Laureandi (Laurea Magistrale), sia i loro Relatori e in generale gli studenti universitari e i docenti.
","Il progetto verrà realizzato comunque in un tempo complessivo di circa 18 mesi, ma sarà attivo dal punto di vista della comunicazione già nella prima metà del 2020. ","* numero partecipanti al Bando
* numero persone coinvolte nella divulgazione/sensibilizzazione
* numero partecipanti all'evento conclusivo
",Università,2020-02-28 08:15:50
Microsoft Italia ,Ambizione Italia,"L’obiettivo del progetto Ambizione Italia è quello di preparare la forza lavoro alle nuove sfide tecnologiche come l’Intelligenza Artificiale (IA), per colmare la carenza ed il divario di competenze, attraverso un programma di formazione permanente per lavoratori, disoccupati, giovani, studenti e cittadini.
Il Progetto Ambizione Italia consiste in un ecosistema inclusivo di partner che contribuisce a erogare esperienze formative e servizi di orientamento professionale (soprattutto nelle discipline tecnico-scientifiche per guidare i cittadini verso opportunità lavorative future in un contesto in continua evoluzione. Il progetto Ambizione Italia include diverse iniziative di formazione che sono erogate online ed in presenza e si propone di formare 2 milioni di cittadini italiani tra il 2019-2021 nelle discipline tecnico-scientifiche (STEM), con un investimento Microsoft pari a 100 milioni all’anno. ","Cittadini, giovani, studenti, disoccupati",Il progetto si svolge nel corso del triennio 2019-2021,"* numero persone formate
* numero persone che ha acquisito una certificazione","L’ecosistema comprende diversi partner, tra cui LinkedIn, The Adecco Group, Fondazione Mondo Digitale, Invitalia, Cariplo Factory, growITup, EY, Poste Italiane, TIM, CRUI, Borsa Italiana ed Università La sapienza",2020-02-28 08:20:50
Vodafone Italia,Future Jobs Finder,"Future Jobs Finder è una piattaforma in grado di orientare i giovani nel mondo del lavoro nella Digital Economy e aiutarli ad essere consapevoli delle competenze digitali necessarie.
La piattaforma Vodafone Future Jobs Finder è stata sviluppata con il supporto di psicologi, consulenti del lavoro e professionisti della formazione. Il primo step per chi si registrerà alla piattaforma è quello di sottoporsi a una serie di test psicometrici. In questo modo si potranno individuare attitudini e interessi di ciascun utente e suggerirgli le categorie di lavoro più adatte nella Digital Economy. 
Superata questa fase, all’utente vengono mostrate una serie di opportunità di lavoro (anche in Vodafone) in una località prescelta. In alternativa, la piattaforma Vodafone Future Jobs Finder darà l’opportunità di accedere a corsi gratuiti di formazione online. L’ultimo passo è quello di aiutare l’utente a redigere un curriculum efficace. La piattaforma, infatti, invierà un riassunto delle proprie competenze e interessi che potrà essere inserito nel cv oppure nella lettera di presentazione per una candidatura di lavoro.
La piattaforma sarà disponibile con una veste più inclusiva in occasione della International Women’s Day 2020. ",Ragazzi tra I 15 e I 24 anni,La piattaforma sarà disponibile in occasione della International Women’s Day 2020 (8 marzo 2020). ,I risultati verranno misurati sulla base del numero di accessi alla piattaforma e del numero di studenti partecipanti agli eventi organizzati nelle scuole e negli atenei  per promuoverne l’utilizzo,,2020-02-28 08:25:50
